Dior-Lipstick-162,#EE7965
Dior-Lipstick-207,#D9839E
Dior-Lipstick-265,#7F3357
Dior-Lipstick-266,#EA636A
Dior-Lipstick-272,#EA5C96
Dior-Lipstick-277,#E37081
Dior-Lipstick-334,#E84857
Dior-Lipstick-343,#C76277
Dior-Lipstick-351,#E64119
Dior-Lipstick-362,#E95231
Dior-Lipstick-375,#E50A5F
Dior-Lipstick-422,#8F2115
Dior-Lipstick-423,#E41E1A
Dior-Lipstick-426,#95358A
Dior-Lipstick-440,#9F1314
Dior-Lipstick-441,#8F1A31
Dior-Lipstick-442,#C3052A
Dior-Lipstick-451,#BA1062
Dior-Lipstick-457,#381D1B
Dior-Lipstick-459,#5F2026
Dior-Lipstick-476,#DB8D74
Dior-Lipstick-479,#DB2143
Dior-Lipstick-481,#400000
Dior-Lipstick-485,#F18E9A
Dior-Lipstick-487,#D0796E
Dior-Lipstick-520,#EF7B6E
Dior-Lipstick-527,#EE7670
Dior-Lipstick-530,#DE4A71
Dior-Lipstick-532,#EE7780
Dior-Lipstick-533,#C50627
Dior-Lipstick-536,#DB6F65
Dior-Lipstick-540,#EA543E
Dior-Lipstick-550,#DC2B46
Dior-Lipstick-553,#E88592
Dior-Lipstick-554,#F08491
Dior-Lipstick-560,#EA5969
Dior-Lipstick-561,#DB485E
Dior-Lipstick-564,#E94A44
Dior-Lipstick-565,#CF514F
Dior-Lipstick-567,#E54B54
Dior-Lipstick-572,#E46563
Dior-Lipstick-574,#C44D55
Dior-Lipstick-576,#BB425E
Dior-Lipstick-577,#E8437B
Dior-Lipstick-578,#A95C56
Dior-Lipstick-581,#D41037
Dior-Lipstick-590,#C50627
Dior-Lipstick-601,#BA4C63
Dior-Lipstick-602,#E42117
Dior-Lipstick-613,#E73143
Dior-Lipstick-614,#951D4A
Dior-Lipstick-637,#BF1651
Dior-Lipstick-639,#AB2B55
Dior-Lipstick-642,#CE1C68
Dior-Lipstick-643,#6D4544
Dior-Lipstick-644,#EC657A
Dior-Lipstick-652,#C57355
Dior-Lipstick-655,#E40341
Dior-Lipstick-658,#EF8784
Dior-Lipstick-660,#D96271
Dior-Lipstick-663,#D0436C
Dior-Lipstick-665,#D07A67
Dior-Lipstick-667,#EC6B86
Dior-Lipstick-678,#CA657D
Dior-Lipstick-680,#E1534C
Dior-Lipstick-684,#A9574D
Dior-Lipstick-685,#CD3549
Dior-Lipstick-722,#AA5D69
Dior-Lipstick-740,#D2CED1
Dior-Lipstick-744,#AE685B
Dior-Lipstick-746,#E33F1E
Dior-Lipstick-750,#CB4635
Dior-Lipstick-751,#A40D45
Dior-Lipstick-756,#642731
Dior-Lipstick-766,#282223
Dior-Lipstick-770,#781D25
Dior-Lipstick-771,#E73F49
Dior-Lipstick-772,#EF8081
Dior-Lipstick-773,#2E4662
Dior-Lipstick-775,#E30467
Dior-Lipstick-777,#823A42
Dior-Lipstick-780,#D26178
Dior-Lipstick-781,#D81920
Dior-Lipstick-787,#B42236
Dior-Lipstick-788,#BC7175
Dior-Lipstick-789,#BAC2C1
Dior-Lipstick-794,#DA7095
Dior-Lipstick-797,#EE7A6B
Dior-Lipstick-842,#E36176
Dior-Lipstick-844,#D0546D
Dior-Lipstick-856,#E3033D
Dior-Lipstick-857,#D94E4C
Dior-Lipstick-861,#E95068
Dior-Lipstick-867,#EF8081
Dior-Lipstick-871,#2E4662
Dior-Lipstick-875,#E95155
Dior-Lipstick-877,#E74519
Dior-Lipstick-880,#EC6C7D
Dior-Lipstick-881,#CF546A
Dior-Lipstick-882,#BC5053
Dior-Lipstick-888,#CB4A6A
Dior-Lipstick-895,#DB022B
Dior-Lipstick-901,#E42F31
Dior-Lipstick-904,#CE1E57
Dior-Lipstick-908,#E86C80
Dior-Lipstick-924,#CA7983
Dior-Lipstick-927,#E0244A
Dior-Lipstick-950,#E5699C
Dior-Lipstick-955,#96518E
Dior-Lipstick-962,#DF262E
Dior-Lipstick-976,#B52630
Dior-Lipstick-979,#EA5958
Dior-Lipstick-983,#85546C
Dior-Lipstick-996,#BD040E
Dior-Lipstick-999,#BD040E
Dior-Lipgloss-001,#423839
Dior-Lipstick-004,#E83D40
Dior-Lipstick-005,#813958
Dior-Lipstick-006,#622024
Dior-Lipgloss-008,#8F1922
Dior-Lipstick-028,#BC2539
Dior-Lipgloss-041,#DF0E61
Dior-Lipstick-047,#FD54A8
Dior-Lipstick-060,#900923
Dior-Lipstick-080,#DA2B5C
Dior-Lipgloss-092,#E9466D
Dior-Lipgloss-212,#F3A1A2
Dior-Lipgloss-339,#E998A6
Dior-Lipgloss-363,#E49296
Dior-Lipgloss-369,#ED878F
Dior-Lipgloss-421,#E04147
Dior-Lipgloss-433,#E84626
Dior-Lipgloss-458,#EF7A82
Dior-Lipgloss-491,#DE6B72
Dior-Lipgloss-548,#DD426C
Dior-Lipgloss-557,#E95070
Dior-Lipgloss-579,#FD54A8
Dior-Lipgloss-583,#E05F7A
Dior-Lipgloss-646,#E9466D
Dior-Lipgloss-653,#E48D93
Dior-Lipgloss-656,#F9DBDB
Dior-Lipgloss-659,#D97587
Dior-Lipgloss-661,#EF7C70
Dior-Lipgloss-662,#E40F37
Dior-Lipgloss-664,#424542
Dior-Lipgloss-668,#F4A48D
Dior-Lipgloss-676,#E5778B
Dior-Lipgloss-683,#8E5850
Dior-Lipgloss-761,#D76F7C
Dior-Lipgloss-765,#AC5E55
Dior-Lipgloss-778,#E03D5C
Dior-Lipgloss-929,#EB6291
YSL-Lipstick-19,#AF3C78
YSL-Lipstick-13,#BA1813
YSL-Lipstick-52,#E94E58
YSL-Lipstick-01,#B7112A
YSL-Lipstick-17,#F65E6F
YSL-Lipstick-07,#CB2377
YSL-Lipstick-09,#C17381
YSL-Lipstick-11,#BF6870
YSL-Lipstick-16,#BA4349
YSL-Lipstick-22,#E86DA0
YSL-Lipstick-23,#DE6E5B
YSL-Lipstick-26,#CB6C84
YSL-Lipstick-36,#EC685D
YSL-Lipstick-49,#DD4D8F
YSL-Lipstick-51,#F66E55
YSL-Lipstick-56,#CC161A
YSL-Lipstick-59,#B76363
YSL-Lipstick-207,#C94060
YSL-Lipstick-208,#D50A45
YSL-Lipstick-27,#D14177
YSL-Lipstick-50,#DB2924
YSL-Lipstick-57,#C1163D
YSL-Lipstick-58,#B45F85
YSL-Lipstick-201,#AD0F20
YSL-Lipstick-202,#9C2A2C
YSL-Lipstick-203,#90031D
YSL-Lipstick-205,#520201
YSL-Lipstick-72,#991B2D
YSL-Lipstick-73,#CE0611
YSL-Lipstick-74,#DF291B
YSL-Lipstick-211,#E3034E
YSL-Lipstick-212,#A43B4E
YSL-Lipstick-213,#E84138
YSL-Lipstick-215,#E24E8F
YSL-Lipstick-216,#DD4558
YSL-Lipstick-217,#E07184
YSL-Lipstick-49,#D71F4F
YSL-Lipstick-43,#D23A4B
